
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Minnesota Twins,.337,104,.306,.174,3.3%,21.4%,9.5%,87.7,37.0%,25.6%,41.3%,23.5%,0.73,31.4%,50.8%,17.8%,5.2,3.6%,60.2,32%,77%,42%
New York Mets,.329,101,.286,.184,3.6%,20.9%,8.6%,87.3,37.0%,25.2%,40.2%,24.8%,0.69,29.1%,53.6%,17.3%,-2.1,-0.7%,13.9,29%,72%,35%
New York Yankees,.348,108,.304,.185,3.8%,21.8%,9.7%,87.8,37.0%,25.1%,43.0%,23.2%,0.77,30.1%,52.3%,17.6%,2.7,2.1%,88.9,32%,80%,39%
Oakland Athletics,.330,105,.294,.190,3.8%,24.3%,9.2%,88.7,40.1%,27.2%,38.3%,25.8%,0.63,28.5%,52.5%,19.0%,4.9,-1.0%,3.4,29%,72%,35%
Philadelphia Phillies,.320,90,.304,.159,2.8%,23.1%,8.1%,87.7,37.3%,25.4%,45.5%,20.7%,0.86,28.1%,51.9%,20.0%,-8.5,-1.3%,-49.8,29%,70%,37%
Pittsburgh Pirates,.313,86,.286,.142,2.5%,19.8%,8.5%,86.3,33.7%,25.1%,46.6%,20.9%,0.90,26.5%,53.7%,19.9%,-5.1,-1.7%,-70.8,29%,65%,40%
San Diego Padres,.306,82,.287,.160,3.2%,25.2%,7.7%,86.2,33.3%,24.4%,42.1%,21.4%,0.77,29.5%,52.1%,18.4%,-6.9,-2.0%,-129.6,26%,73%,43%
Seattle Mariners,.328,103,.300,.165,3.2%,20.6%,7.9%,88.2,38.4%,24.9%,44.0%,22.7%,0.80,28.4%,54.1%,17.6%,1.2,-0.3%,9.5,30%,72%,37%
San Francisco Giants,.305,79,.294,.132,2.1%,19.6%,7.6%,86.9,33.6%,24.0%,46.5%,20.7%,0.90,27.1%,53.7%,19.1%,-14.3,-2.9%,-116.1,29%,69%,41%
St. Louis Cardinals,.334,99,.304,.170,3.2%,21.7%,9.5%,87.4,37.5%,25.8%,42.6%,23.1%,0.77,28.3%,54.4%,17.3%,-2.4,-2.0%,19.0,30%,72%,40%
Tampa Bay Rays,.321,98,.296,.178,3.7%,25.0%,8.9%,87.5,38.5%,23.9%,43.1%,23.5%,0.78,29.7%,52.3%,17.9%,-5.3,-3.5%,-53.9,27%,72%,40%
Texas Rangers,.329,90,.291,.186,3.9%,24.4%,8.9%,88.0,39.0%,23.5%,43.1%,24.1%,0.78,32.3%,51.7%,16.1%,-1.6,-1.1%,12.9,32%,72%,44%
Toronto Blue Jays,.318,90,.276,.172,3.6%,21.6%,8.8%,87.6,38.0%,23.7%,43.7%,23.5%,0.79,28.0%,54.0%,17.9%,-7.9,-2.5%,-83.8,27%,69%,35%
Washington Nationals,.341,98,.311,.183,3.5%,21.4%,8.7%,88.4,40.3%,25.4%,43.3%,22.9%,0.79,28.3%,53.0%,18.7%,3.4,4.6%,74.2,32%,78%,41%
