
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Minnesota Twins,.322,102,.282,.182,3.8%,23.1%,8.6%,89.5,41.6%,24.3%,42.4%,26.5%,0.74,31.5%,52.6%,15.9%,-5.1,-1.6%,-25.0,29%,78%,37%
New York Mets,.315,94,.291,.152,3.0%,23.8%,8.5%,87.4,38.0%,23.1%,43.5%,25.2%,0.79,28.1%,53.7%,18.1%,-9.3,-6.7%,-62.8,28%,68%,37%
New York Yankees,.321,100,.285,.169,3.7%,24.5%,10.3%,89.4,42.9%,23.2%,43.3%,25.5%,0.78,27.7%,53.7%,18.6%,1.1,1.4%,-40.8,28%,78%,36%
Oakland Athletics,.320,104,.278,.168,3.3%,22.1%,8.9%,88.6,39.7%,23.3%,41.0%,27.7%,0.70,29.8%,54.2%,16.1%,2.4,0.8%,11.2,31%,81%,46%
Philadelphia Phillies,.323,95,.286,.168,3.3%,23.0%,9.3%,87.0,37.1%,23.4%,43.8%,23.7%,0.82,28.0%,53.0%,19.0%,1.8,-1.0%,3.6,31%,80%,41%
Pittsburgh Pirates,.301,80,.290,.128,2.1%,22.2%,8.8%,86.6,34.4%,24.2%,44.8%,23.4%,0.84,27.2%,55.7%,17.1%,-10.0,-3.4%,-117.0,28%,67%,36%
San Diego Padres,.320,101,.287,.159,2.9%,21.6%,9.6%,88.5,40.8%,24.0%,45.0%,22.0%,0.84,27.4%,55.4%,17.2%,-4.2,-1.9%,6.7,31%,74%,41%
Seattle Mariners,.304,93,.273,.159,3.3%,24.8%,8.9%,87.5,37.3%,22.7%,41.7%,27.3%,0.72,29.1%,54.2%,16.7%,1.5,0.0%,-42.3,31%,73%,34%
San Francisco Giants,.339,108,.295,.191,3.9%,23.6%,9.7%,87.8,38.9%,23.4%,39.5%,28.7%,0.67,30.2%,53.1%,16.7%,7.9,6.6%,65.3,31%,83%,38%
St. Louis Cardinals,.322,99,.287,.168,3.3%,22.4%,8.0%,87.8,37.5%,22.8%,40.5%,28.2%,0.70,29.5%,53.8%,16.7%,1.2,-1.3%,3.6,30%,80%,43%
Tampa Bay Rays,.328,112,.294,.186,3.6%,24.8%,9.4%,88.6,40.0%,22.9%,42.4%,26.2%,0.74,29.4%,52.9%,17.7%,8.0,6.1%,120.0,35%,68%,47%
Texas Rangers,.297,82,.280,.143,2.8%,23.2%,7.3%,87.3,35.8%,22.5%,46.3%,23.3%,0.88,27.1%,54.4%,18.5%,-16.7,-2.9%,-136.9,29%,79%,41%
Toronto Blue Jays,.345,113,.296,.200,4.3%,20.1%,8.2%,90.0,42.6%,24.5%,40.5%,27.1%,0.69,28.7%,53.8%,17.6%,3.7,2.9%,103.8,33%,80%,41%
Washington Nationals,.335,109,.307,.159,3.0%,21.3%,9.4%,87.6,39.4%,24.2%,47.0%,21.9%,0.92,26.4%,55.7%,17.9%,-2.0,-1.1%,13.0,29%,68%,36%
