
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB_FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Houston Astros,.329,109,.278,.176,3.5%,19.5%,8.7%,88.2,39.2%,23.8%,40.6%,28.3%,0.69,30.0%,53.4%,16.7%,4.9,2.7%,55.8,30%,79%,37%
Kansas City Royals,.308,93,.293,.136,2.3%,21.4%,7.7%,88.1,37.9%,23.8%,41.4%,27.2%,0.72,29.6%,52.0%,18.3%,-8.2,-2.4%,-54.1,29%,75%,46%
Los Angeles Angels,.305,92,.289,.157,3.2%,25.8%,7.5%,87.3,35.9%,23.2%,40.4%,27.4%,0.70,29.0%,53.0%,18.0%,-11.2,-1.0%,-78.5,27%,74%,41%
Los Angeles Dodgers,.344,112,.302,.185,3.4%,22.0%,9.7%,89.3,42.0%,24.9%,37.1%,31.6%,0.59,32.0%,50.5%,17.5%,11.0,4.1%,119.9,34%,84%,40%
Miami Marlins,.299,86,.284,.133,2.4%,24.0%,7.3%,87.9,37.4%,23.6%,44.5%,25.5%,0.81,27.3%,53.4%,19.3%,-12.4,-2.4%,-130.2,27%,81%,38%
Milwaukee Brewers,.322,105,.279,.174,3.6%,23.9%,9.4%,88.7,39.9%,22.7%,42.0%,27.9%,0.73,30.2%,52.7%,17.1%,1.4,-0.5%,9.0,29%,76%,40%
Minnesota Twins,.321,108,.295,.153,2.9%,22.1%,8.5%,89.3,41.2%,24.4%,41.8%,27.5%,0.72,30.2%,51.8%,18.0%,-3.6,-0.3%,10.3,29%,69%,40%
New York Mets,.331,113,.302,.153,2.8%,19.7%,8.3%,87.7,37.2%,24.2%,43.9%,24.6%,0.80,28.8%,52.3%,18.9%,7.2,5.1%,82.7,31%,74%,38%
New York Yankees,.335,114,.276,.185,4.1%,22.5%,10.1%,89.3,42.0%,23.2%,41.2%,27.4%,0.71,29.2%,52.0%,18.9%,4.8,3.3%,108.5,31%,76%,38%
Oakland Athletics,.283,81,.264,.130,2.3%,23.7%,7.4%,86.9,34.3%,22.9%,44.4%,24.4%,0.82,29.4%,51.4%,19.2%,-12.6,-2.5%,-109.3,28%,77%,44%
Philadelphia Phillies,.329,107,.299,.169,3.4%,22.4%,7.9%,88.9,41.3%,23.7%,42.8%,25.7%,0.76,28.2%,51.7%,20.2%,3.4,0.0%,41.6,31%,79%,39%
Pittsburgh Pirates,.295,83,.277,.141,2.7%,25.3%,8.1%,87.6,37.5%,23.1%,44.0%,25.1%,0.80,30.5%,52.0%,17.6%,-11.4,-2.1%,-119.9,27%,74%,42%
San Diego Padres,.314,106,.289,.141,2.5%,21.5%,9.3%,87.8,37.9%,23.5%,42.6%,25.5%,0.76,30.4%,50.9%,18.7%,-1.0,0.6%,11.9,30%,69%,44%
Seattle Mariners,.317,107,.272,.160,3.2%,22.8%,9.7%,87.9,36.9%,23.2%,40.2%,27.7%,0.68,30.2%,52.4%,17.5%,1.2,-0.6%,16.8,28%,75%,38%
San Francisco Giants,.316,98,.284,.156,3.0%,23.9%,9.3%,87.6,37.8%,22.7%,39.9%,28.4%,0.68,30.9%,50.9%,18.2%,-2.0,-1.0%,1.2,30%,80%,36%
St. Louis Cardinals,.332,115,.289,.168,3.2%,19.9%,8.7%,87.9,37.5%,23.3%,41.4%,26.3%,0.71,30.4%,51.9%,17.6%,2.4,0.7%,77.9,31%,79%,46%
Tampa Bay Rays,.307,100,.295,.138,2.3%,23.2%,8.3%,88.6,38.9%,24.4%,44.1%,23.0%,0.80,29.1%,51.8%,19.2%,-4.6,-1.6%,-17.9,30%,72%,47%
Texas Rangers,.311,98,.287,.157,3.3%,24.0%,7.6%,88.5,39.5%,23.1%,40.5%,27.1%,0.70,31.0%,51.8%,17.2%,-3.3,-0.2%,9.6,31%,76%,44%
Toronto Blue Jays,.336,117,.305,.168,3.3%,20.2%,8.1%,90.0,44.5%,23.6%,45.6%,23.0%,0.85,28.2%,52.1%,19.6%,6.9,4.1%,88.2,31%,66%,41%
Washington Nationals,.308,99,.295,.129,2.3%,20.4%,7.4%,86.7,35.6%,24.0%,45.7%,22.1%,0.87,30.1%,51.3%,18.6%,-9.6,-1.3%,-90.4,27%,71%,37%
